IPO name,Offer date,SIC,Ticker,Unit,Offer price
ScreamingMedia Inc,20000802,7389,SCRM,1,12
iAsia Works Inc,20000802,7372,IAWK,1,13
America Online Latin America,20000807,7375,AOLA,1,8
Mind C.T.I. Ltd,20000808,7371,MNDO,1,10
Evolve Software Inc,20000809,7372,EVLV,1,9
RadView Software Ltd,20000809,7372,RADV,1,10
Equinix Inc,20000810,4813,EQIX,1,12
Quintalinux Ltd,20000810,7375,QLNX,1,8
SynQuest Inc,20000814,7372,SYNQ,1,7
O2Wireless Solutions Inc,20000816,7373,OTWO,1,12
PeoplePC Inc,20000816,7375,PEOP,1,10
Integrated Telecom Express Inc,20000817,3661,ITXI,1,18
WJ Communications Inc,20000818,3663,WJCI,1,16
ServiceWare Technologies Inc,20000825,7372,SVCW,1,7
ViryaNet LTD,20000919,7372,VRYA,1,8
OmniSky Corp,20000920,4812,OMNY,1,12
INRANGE Technologies Corp,20000921,3663,INRG,1,16
Zengine Inc,20000921,7373,ZNGN,1,13
Cosine Communications Inc,20000925,7372,COSN,1,23
AvantGo Inc,20000926,7371,AVGO,1,12
University of Phoenix Online,20000927,8221,UOPX,1,14
Docent Inc,20000929,7372,DCNT,1,11
Advanced Switching Communic,20001004,3661,ASCX,1,15
Asia Global Crossing Ltd,20001006,4813,AGCX,1,7
Synplicity Inc,20001012,7372,SYNP,1,8
Datalex PLC,20001020,7371,DLEX,1,11.5
Transmeta Corp,20001106,3674,TMTA,1,21
Go2pharmacy.com Inc,20001109,5961,GORX,1,7.875
Riverstone Networks Inc,20010215,3576,RSTN,1,12
Loudcloud Inc,20010308,7389,LDCL,1,6
Simplex Solutions Inc,20010502,7371,SPLX,1,12
Instinet Group Inc,20010517,6211,INET,1,14.5
Alliance Data Systems Corp,20010607,7374,ADS,1,12
Bam Entertainment Inc,20011115,7372,BFUN,1,8
Paypal Inc,20020214,7374,PYPL,1,13
Netflix.com Inc,20020523,7841,NFLX,1,15
Overstock.com,20020530,5961,OSTK,1,13
Plumtree Software Inc,20020604,7371,PLUM,1,8.5
Ipass Inc,20030723,7375,IPAS,1,14
RedEnvelope Inc,20030924,5947,REDE,1,14
Open Solutions Inc,20031125,7372,OPEN,1,17
Orbitz Inc.,20031217,4700,ORBZ,1,26
Provide Commerce Inc.,20031217,7389,PRVD,1,15
TOM Online Inc,20040305,4812,TOMO,1,15.552
Marchex Inc,20040330,7375,MCHX,1,6.5
Shanda Interactive Ent Ltd,20040512,7375,SNDA,1,11
Blue Nile Inc,20040519,5944,NILE,1,20.5
Motive Inc,20040624,7372,MOTV,1,10
